City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,sijunjung,-0.6876,100.9537,297.6,94,84,0.76,ID,1682425395
233,christchurch,-43.5333,172.6333,290.26,56,84,3.09,NZ,1682425326
234,nampula,-15.1165,39.2666,301.12,54,40,5.66,MZ,1682425395
235,puerto baquerizo moreno,-0.9,-89.6,298.3,80,2,2.82,EC,1682425395
236,patacamaya,-17.2333,-67.9167,278.32,72,11,2.64,BO,1682425395
237,brookings,44.3114,-96.7984,272.69,78,0,2.57,US,1682425395
238,aginskoye,51.1,114.53,280.32,19,97,2.6,RU,1682425395
239,baturaden,-7.3,109.2167,293.48,94,100,0.69,ID,1682425396
240,guane,22.2025,-84.0875,297.36,75,9,1.1,CU,1682425396
241,sovetskaya gavan',48.9723,140.2878,275.32,74,100,3.62,RU,1682425396
242,khandyga,62.6667,135.6,267.66,97,98,0.91,RU,1682425396
243,fortuna,40.5982,-124.1573,282.55,90,94,0.89,US,1682425396
244,xining,36.6167,101.7667,287.3,10,1,1.82,CN,1682425397
245,robore,-18.3333,-59.75,294.77,91,62,0.96,BO,1682425397
246,aykhal,66.0,111.5,267.17,94,100,5.15,RU,1682425397
247,tarata,-17.6167,-66.0167,286.83,66,26,1.49,BO,1682425397
248,ola,59.5833,151.2833,274.9,83,100,6.61,RU,1682425397
249,igarka,67.4667,86.5833,274.27,99,100,2.07,RU,1682425397
250,vilyuchinsk,52.9306,158.4028,275.3,80,32,4.33,RU,1682425397
251,smirnykh,49.75,142.8333,274.36,54,59,1.28,RU,1682425398
252,villa luvianos,18.9167,-100.4,290.01,36,76,1.3,MX,1682425398
253,porto novo,6.4965,2.6036,306.51,52,61,4.06,BJ,1682425398
254,worland,44.0169,-107.9554,282.79,68,100,3.09,US,1682425359
255,cibolo,29.5616,-98.227,291.29,91,100,3.09,US,1682425398
256,flying fish cove,-10.4217,105.6791,300.23,78,41,4.45,CX,1682425399
257,rongelap,11.1635,166.8941,298.8,86,100,5.98,MH,1682425399
258,vila franca do campo,37.7167,-25.4333,290.38,94,97,4.39,PT,1682425399
259,oyotun,-6.8519,-79.3036,298.08,80,100,0.58,PE,1682425399
260,prieska,-29.6641,22.7474,299.99,29,1,0.56,ZA,1682425400
261,dashtobod,40.1269,68.4944,300.48,23,0,2.91,UZ,1682425400
262,fredericton,45.9454,-66.6656,278.61,93,100,3.09,CA,1682425196
263,usogorsk,63.4106,48.6872,275.99,95,100,1.59,RU,1682425400
264,turtas,58.9417,69.1325,292.4,38,65,5.41,RU,1682425400
265,esfarayen,37.0765,57.5101,302.96,17,66,7.38,IR,1682425401
266,avarua,-21.2078,-159.775,299.18,78,20,5.14,CK,1682425349
267,borovskoy,53.8,64.15,295.46,20,0,5.55,KZ,1682425401
268,grootfontein,-19.5667,18.1167,300.91,39,20,3.09,NA,1682425401
269,terra nova,-12.3667,-40.6667,297.57,56,8,2.74,BR,1682425401
270,merizo village,13.2658,144.6691,301.46,92,26,6.83,GU,1682425402
271,barakani,-12.1356,44.4317,301.43,69,66,5.32,KM,1682425402
272,corner brook,48.9667,-57.9484,275.24,81,100,2.49,CA,1682425313
273,ketchikan,55.3422,-131.6461,276.14,93,100,2.06,US,1682425402
274,necochea,-38.5473,-58.7368,288.03,80,62,2.79,AR,1682425402
275,queenstown,-31.8976,26.8753,298.98,27,37,4.87,ZA,1682425402
276,sala,34.0389,-6.8166,306.84,61,5,3.09,MA,1682425402
277,hirara,24.8,125.2833,296.07,88,100,7.2,JP,1682425403
278,grand falls-windsor,48.9332,-55.6649,273.99,91,90,1.34,CA,1682425401
279,cape canaveral,28.4058,-80.6048,298.14,76,75,6.17,US,1682425403
280,tol'yatti,53.5303,49.3461,284.04,87,100,7.21,RU,1682425403
281,sittwe,20.15,92.9,302.61,71,45,6.64,MM,1682425403
282,alice springs,-23.7,133.8833,290.9,63,10,4.17,AU,1682425403
283,makurdi,7.7411,8.5121,312.53,31,99,0.59,NG,1682425403
284,nkowakowa,-23.8878,30.2871,308.19,20,3,2.32,ZA,1682425404
285,villa bruzual,9.3328,-69.1208,298.39,76,94,1.65,VE,1682425404
286,cacoal,-11.4386,-61.4472,296.49,94,68,1.01,BR,1682425207
287,port douglas,-16.4833,145.4667,297.9,83,84,8.45,AU,1682425404
288,maplewood,44.953,-92.9952,274.08,65,0,3.09,US,1682425404
289,bima,-8.4667,118.7167,298.35,94,84,1.72,ID,1682425404
290,miri,4.4148,114.0089,301.23,89,40,0.0,MY,1682425405
291,chipata,-13.6333,32.65,299.37,44,35,2.8,ZM,1682425405
292,sundarnagar,31.5333,76.8833,299.28,28,33,2.39,IN,1682425405
293,goundi,9.3627,17.366,313.43,21,98,1.67,TD,1682425405
294,ayabaca,-4.6398,-79.7149,281.94,95,100,2.44,PE,1682425405
295,luanda,-8.8368,13.2343,301.96,74,93,3.91,AO,1682425405
296,mount gambier,-37.8333,140.7667,289.23,65,100,2.44,AU,1682425406
297,changqing,36.5575,116.7272,287.86,58,23,2.41,CN,1682425406
298,manuguru,17.981,80.7547,305.7,48,60,1.26,IN,1682425406
299,rio preto da eva,-2.6994,-59.6997,299.14,83,30,1.08,BR,1682425406
300,yuzhno-kurilsk,44.0306,145.8556,277.3,62,79,2.66,RU,1682425406
301,hanceville,34.0607,-86.7675,282.83,68,83,2.21,US,1682425406
302,saint augustine beach,29.8505,-81.2654,295.4,83,40,3.09,US,1682425407
303,djibouti,11.5,42.5,304.58,48,9,6.02,DJ,1682425407
304,pagouda,9.7525,1.3278,305.44,33,52,1.42,TG,1682425407
305,acapulco de juarez,16.8634,-99.8901,297.05,88,75,1.03,MX,1682425407
306,murree,33.9073,73.393,293.29,25,32,2.15,PK,1682425407
307,mar del plata,-38.0023,-57.5575,292.09,98,100,1.03,AR,1682425363
308,viedma,-40.8135,-62.9967,288.85,57,1,4.98,AR,1682425226
309,tofol,5.3248,163.0078,300.9,79,100,8.01,FM,1682425408
310,nykvarn,59.8,18.3,281.97,74,100,2.49,SE,1682425408
311,kailua-kona,19.6406,-155.9956,297.13,79,75,2.24,US,1682425408
312,kuna,43.4918,-116.4201,276.95,81,0,5.66,US,1682425408
313,ndele,8.4109,20.6473,312.23,24,20,0.91,CF,1682425408
314,keuruu,62.2667,24.7,282.25,91,100,4.1,FI,1682425409
315,minas de marcona,-15.2119,-75.1103,290.03,83,21,3.33,PE,1682425409
316,aldinga beach,-35.2793,138.4604,297.41,54,100,3.68,AU,1682425409
317,arteche,12.2645,125.4048,299.0,84,100,2.29,PH,1682425409
318,luderitz,-26.6481,15.1594,296.86,58,1,7.42,NA,1682425409
319,nogliki,51.8333,143.1667,271.8,86,88,1.86,RU,1682425410
320,iqaluit,63.7506,-68.5145,271.0,100,100,1.03,CA,1682425396
321,bam,29.106,58.357,303.12,13,45,7.28,IR,1682425410
322,debark',13.1561,37.8981,296.29,20,56,3.47,ET,1682425411
323,alajarvi,63.0,23.8167,277.76,94,100,4.55,FI,1682425411
324,lyaskovets,43.1111,25.7283,291.77,67,89,3.09,BG,1682425411
325,kyzyl-suu,42.3414,78.0056,282.4,64,100,2.2,KG,1682425411
326,malindi,-3.2175,40.1191,303.24,70,75,7.72,KE,1682425412
327,sao joao batista,-27.2761,-48.8494,295.91,93,64,0.42,BR,1682425412
328,saint-louis,16.3333,-15.0,310.95,13,18,3.38,SN,1682425412
329,belozersk,60.0326,37.7957,288.7,40,79,4.12,RU,1682425412
330,bamboo flat,11.7,92.7167,302.62,70,54,2.84,IN,1682425412
331,labrador city,52.9463,-66.9114,277.1,60,75,1.03,CA,1682425209
332,norilsk,69.3535,88.2027,275.61,87,41,2.88,RU,1682425413
333,kulhudhuffushi,6.6221,73.07,302.43,68,97,3.31,MV,1682425413
334,quellon,-43.1167,-73.6167,283.29,100,100,0.0,CL,1682425413
335,basarabeasca,46.3311,28.9728,288.61,54,100,6.05,MD,1682425413
336,fenton,42.7978,-83.7049,276.38,80,100,3.09,US,1682425223
